1949 - NumBooks: 20, SignUp: 10, BxD: 42726, DifferentBooks: 0 ScoreHeuristic: 529984.0
8696 - NumBooks: 20, SignUp: 11, BxD: 52809, DifferentBooks: 0 ScoreHeuristic: 469598.71074380167
4871 - NumBooks: 20, SignUp: 10, BxD: 78179, DifferentBooks: 0 ScoreHeuristic: 450241.0
6550 - NumBooks: 19, SignUp: 11, BxD: 23320, DifferentBooks: 0 ScoreHeuristic: 390511.37190082646
4705 - NumBooks: 17, SignUp: 10, BxD: 79846, DifferentBooks: 0 ScoreHeuristic: 336980.25
9772 - NumBooks: 17, SignUp: 10, BxD: 73019, DifferentBooks: 0 ScoreHeuristic: 301620.64
8384 - NumBooks: 20, SignUp: 13, BxD: 15798, DifferentBooks: 0 ScoreHeuristic: 277485.8224852071
2297 - NumBooks: 17, SignUp: 10, BxD: 6972, DifferentBooks: 0 ScoreHeuristic: 271441.0
7327 - NumBooks: 17, SignUp: 10, BxD: 65975, DifferentBooks: 0 ScoreHeuristic: 270608.04
2610 - NumBooks: 20, SignUp: 13, BxD: 12862, DifferentBooks: 0 ScoreHeuristic: 247544.52071005918
5724 - NumBooks: 19, SignUp: 14, BxD: 70687, DifferentBooks: 0 ScoreHeuristic: 236473.79591836734
3428 - NumBooks: 20, SignUp: 14, BxD: 32563, DifferentBooks: 0 ScoreHeuristic: 217622.25
8530 - NumBooks: 20, SignUp: 15, BxD: 11764, DifferentBooks: 0 ScoreHeuristic: 190619.56
6241 - NumBooks: 18, SignUp: 12, BxD: 42892, DifferentBooks: 0 ScoreHeuristic: 189442.5625
5523 - NumBooks: 19, SignUp: 13, BxD: 30187, DifferentBooks: 0 ScoreHeuristic: 188823.67455621302
8617 - NumBooks: 14, SignUp: 10, BxD: 35925, DifferentBooks: 0 ScoreHeuristic: 185933.44
8738 - NumBooks: 17, SignUp: 14, BxD: 99268, DifferentBooks: 0 ScoreHeuristic: 183979.7193877551
1634 - NumBooks: 15, SignUp: 11, BxD: 70051, DifferentBooks: 0 ScoreHeuristic: 183028.39669421487
8917 - NumBooks: 14, SignUp: 11, BxD: 85347, DifferentBooks: 0 ScoreHeuristic: 179776.0
3953 - NumBooks: 18, SignUp: 10, BxD: 41814, DifferentBooks: 0 ScoreHeuristic: 174640.41
6897 - NumBooks: 19, SignUp: 15, BxD: 96909, DifferentBooks: 0 ScoreHeuristic: 172501.77777777778
1864 - NumBooks: 14, SignUp: 12, BxD: 59356, DifferentBooks: 0 ScoreHeuristic: 170362.5625
4758 - NumBooks: 20, SignUp: 16, BxD: 29271, DifferentBooks: 0 ScoreHeuristic: 165089.84765625
8728 - NumBooks: 19, SignUp: 18, BxD: 90855, DifferentBooks: 0 ScoreHeuristic: 164340.1512345679
53 - NumBooks: 11, SignUp: 10, BxD: 3022, DifferentBooks: 0 ScoreHeuristic: 163054.44
9829 - NumBooks: 19, SignUp: 13, BxD: 93548, DifferentBooks: 0 ScoreHeuristic: 159876.94674556213
7989 - NumBooks: 15, SignUp: 12, BxD: 64488, DifferentBooks: 0 ScoreHeuristic: 153402.77777777778
8691 - NumBooks: 20, SignUp: 15, BxD: 17525, DifferentBooks: 0 ScoreHeuristic: 151788.16
1045 - NumBooks: 20, SignUp: 16, BxD: 41843, DifferentBooks: 0 ScoreHeuristic: 150883.69140625
4193 - NumBooks: 12, SignUp: 13, BxD: 49702, DifferentBooks: 0 ScoreHeuristic: 141376.0
2359 - NumBooks: 15, SignUp: 13, BxD: 4374, DifferentBooks: 0 ScoreHeuristic: 141144.7100591716
7281 - NumBooks: 18, SignUp: 15, BxD: 85116, DifferentBooks: 0 ScoreHeuristic: 140725.01777777777
18 - NumBooks: 14, SignUp: 11, BxD: 71559, DifferentBooks: 0 ScoreHeuristic: 139944.0082644628
8149 - NumBooks: 10, SignUp: 10, BxD: 18931, DifferentBooks: 0 ScoreHeuristic: 138905.29
9255 - NumBooks: 14, SignUp: 12, BxD: 23323, DifferentBooks: 0 ScoreHeuristic: 136838.34027777778
1760 - NumBooks: 10, SignUp: 11, BxD: 10957, DifferentBooks: 0 ScoreHeuristic: 136026.85123966943
627 - NumBooks: 20, SignUp: 16, BxD: 44961, DifferentBooks: 0 ScoreHeuristic: 134001.75390625
3938 - NumBooks: 12, SignUp: 11, BxD: 72815, DifferentBooks: 0 ScoreHeuristic: 130780.85950413223
349 - NumBooks: 20, SignUp: 20, BxD: 34406, DifferentBooks: 0 ScoreHeuristic: 128881.0
8791 - NumBooks: 19, SignUp: 17, BxD: 41313, DifferentBooks: 0 ScoreHeuristic: 125691.10380622838
7491 - NumBooks: 18, SignUp: 18, BxD: 75910, DifferentBooks: 0 ScoreHeuristic: 125434.02777777778
9447 - NumBooks: 20, SignUp: 15, BxD: 32119, DifferentBooks: 0 ScoreHeuristic: 124561.93777777778
5134 - NumBooks: 15, SignUp: 12, BxD: 88981, DifferentBooks: 0 ScoreHeuristic: 121046.00694444444
1161 - NumBooks: 11, SignUp: 14, BxD: 84586, DifferentBooks: 0 ScoreHeuristic: 116378.44897959183
2380 - NumBooks: 12, SignUp: 11, BxD: 72699, DifferentBooks: 0 ScoreHeuristic: 115291.11570247934
9092 - NumBooks: 14, SignUp: 13, BxD: 86998, DifferentBooks: 0 ScoreHeuristic: 112482.84023668639
177 - NumBooks: 18, SignUp: 18, BxD: 81783, DifferentBooks: 0 ScoreHeuristic: 111630.23456790124
650 - NumBooks: 14, SignUp: 11, BxD: 39382, DifferentBooks: 0 ScoreHeuristic: 110163.64462809918
9128 - NumBooks: 18, SignUp: 15, BxD: 27647, DifferentBooks: 0 ScoreHeuristic: 106711.11111111111
1023 - NumBooks: 15, SignUp: 13, BxD: 84528, DifferentBooks: 0 ScoreHeuristic: 106326.15976331361
111 - NumBooks: 14, SignUp: 12, BxD: 19562, DifferentBooks: 0 ScoreHeuristic: 105246.17361111111
6871 - NumBooks: 20, SignUp: 21, BxD: 46343, DifferentBooks: 0 ScoreHeuristic: 104452.08390022676
198 - NumBooks: 13, SignUp: 11, BxD: 85236, DifferentBooks: 0 ScoreHeuristic: 103976.93388429753
5771 - NumBooks: 19, SignUp: 19, BxD: 56130, DifferentBooks: 0 ScoreHeuristic: 102669.65096952909
8887 - NumBooks: 18, SignUp: 19, BxD: 33452, DifferentBooks: 0 ScoreHeuristic: 99922.53739612189
6644 - NumBooks: 20, SignUp: 18, BxD: 16943, DifferentBooks: 0 ScoreHeuristic: 98561.11419753087
7819 - NumBooks: 20, SignUp: 16, BxD: 79317, DifferentBooks: 0 ScoreHeuristic: 98556.75390625
2006 - NumBooks: 13, SignUp: 13, BxD: 8878, DifferentBooks: 0 ScoreHeuristic: 95956.97633136094
2882 - NumBooks: 12, SignUp: 15, BxD: 52911, DifferentBooks: 0 ScoreHeuristic: 95728.36
5348 - NumBooks: 19, SignUp: 19, BxD: 64440, DifferentBooks: 0 ScoreHeuristic: 94410.64819944599
8758 - NumBooks: 17, SignUp: 14, BxD: 93231, DifferentBooks: 0 ScoreHeuristic: 93723.44897959183
8181 - NumBooks: 19, SignUp: 22, BxD: 43200, DifferentBooks: 0 ScoreHeuristic: 92167.44008264462
7791 - NumBooks: 18, SignUp: 17, BxD: 7052, DifferentBooks: 0 ScoreHeuristic: 87964.58131487889
2346 - NumBooks: 11, SignUp: 13, BxD: 40912, DifferentBooks: 0 ScoreHeuristic: 87025.0
661 - NumBooks: 20, SignUp: 25, BxD: 96984, DifferentBooks: 0 ScoreHeuristic: 87001.4016
7358 - NumBooks: 20, SignUp: 25, BxD: 53614, DifferentBooks: 0 ScoreHeuristic: 86647.8096
8490 - NumBooks: 14, SignUp: 13, BxD: 39756, DifferentBooks: 0 ScoreHeuristic: 86436.0
122 - NumBooks: 10, SignUp: 12, BxD: 6031, DifferentBooks: 0 ScoreHeuristic: 86289.0625
8279 - NumBooks: 11, SignUp: 13, BxD: 27122, DifferentBooks: 0 ScoreHeuristic: 84457.30177514793
7984 - NumBooks: 19, SignUp: 23, BxD: 56141, DifferentBooks: 0 ScoreHeuristic: 81324.1606805293
4074 - NumBooks: 20, SignUp: 22, BxD: 68375, DifferentBooks: 0 ScoreHeuristic: 77081.95041322314
6754 - NumBooks: 12, SignUp: 13, BxD: 2709, DifferentBooks: 0 ScoreHeuristic: 75794.32544378698
5804 - NumBooks: 17, SignUp: 17, BxD: 56486, DifferentBooks: 0 ScoreHeuristic: 74016.00346020762
806 - NumBooks: 13, SignUp: 15, BxD: 42883, DifferentBooks: 0 ScoreHeuristic: 72720.11111111111
4460 - NumBooks: 17, SignUp: 13, BxD: 84753, DifferentBooks: 0 ScoreHeuristic: 71865.23668639053
2732 - NumBooks: 14, SignUp: 13, BxD: 36032, DifferentBooks: 0 ScoreHeuristic: 71741.56213017751
5020 - NumBooks: 12, SignUp: 19, BxD: 58125, DifferentBooks: 0 ScoreHeuristic: 68285.94182825484
7709 - NumBooks: 19, SignUp: 27, BxD: 78111, DifferentBooks: 0 ScoreHeuristic: 67927.80384087791
7305 - NumBooks: 11, SignUp: 11, BxD: 51409, DifferentBooks: 0 ScoreHeuristic: 67363.84297520661
9927 - NumBooks: 12, SignUp: 13, BxD: 21980, DifferentBooks: 0 ScoreHeuristic: 65811.98224852071
416 - NumBooks: 17, SignUp: 23, BxD: 11604, DifferentBooks: 0 ScoreHeuristic: 65180.31001890359
9855 - NumBooks: 20, SignUp: 24, BxD: 15413, DifferentBooks: 0 ScoreHeuristic: 64177.77777777778
5339 - NumBooks: 19, SignUp: 21, BxD: 17883, DifferentBooks: 0 ScoreHeuristic: 62357.22448979592
1549 - NumBooks: 11, SignUp: 13, BxD: 268, DifferentBooks: 0 ScoreHeuristic: 61962.69822485207
479 - NumBooks: 13, SignUp: 15, BxD: 57218, DifferentBooks: 0 ScoreHeuristic: 60450.41777777778
1653 - NumBooks: 18, SignUp: 20, BxD: 61680, DifferentBooks: 0 ScoreHeuristic: 59267.9025
3679 - NumBooks: 17, SignUp: 22, BxD: 95891, DifferentBooks: 0 ScoreHeuristic: 59159.50619834711
1349 - NumBooks: 19, SignUp: 26, BxD: 15204, DifferentBooks: 0 ScoreHeuristic: 58062.46301775148
8005 - NumBooks: 19, SignUp: 23, BxD: 26479, DifferentBooks: 0 ScoreHeuristic: 57579.13232514178
1283 - NumBooks: 18, SignUp: 23, BxD: 52440, DifferentBooks: 0 ScoreHeuristic: 57433.16446124764
6063 - NumBooks: 20, SignUp: 19, BxD: 92588, DifferentBooks: 0 ScoreHeuristic: 57146.160664819945
2754 - NumBooks: 18, SignUp: 21, BxD: 65790, DifferentBooks: 0 ScoreHeuristic: 56780.08163265306
4059 - NumBooks: 10, SignUp: 15, BxD: 76207, DifferentBooks: 0 ScoreHeuristic: 55758.95111111111
1448 - NumBooks: 14, SignUp: 20, BxD: 9114, DifferentBooks: 0 ScoreHeuristic: 52280.8225
5707 - NumBooks: 18, SignUp: 21, BxD: 78266, DifferentBooks: 0 ScoreHeuristic: 51984.0
4138 - NumBooks: 19, SignUp: 25, BxD: 54268, DifferentBooks: 0 ScoreHeuristic: 51220.7424
5023 - NumBooks: 19, SignUp: 24, BxD: 98433, DifferentBooks: 0 ScoreHeuristic: 49821.960069444445
1004 - NumBooks: 12, SignUp: 14, BxD: 84791, DifferentBooks: 0 ScoreHeuristic: 49379.18877551021
587 - NumBooks: 12, SignUp: 16, BxD: 79988, DifferentBooks: 0 ScoreHeuristic: 49062.25
2415 - NumBooks: 15, SignUp: 20, BxD: 96351, DifferentBooks: 0 ScoreHeuristic: 49062.25
1737 - NumBooks: 18, SignUp: 27, BxD: 14054, DifferentBooks: 0 ScoreHeuristic: 47475.567901234564
6441 - NumBooks: 16, SignUp: 24, BxD: 72006, DifferentBooks: 0 ScoreHeuristic: 47360.640625
5263 - NumBooks: 17, SignUp: 27, BxD: 1837, DifferentBooks: 0 ScoreHeuristic: 46848.1975308642
6338 - NumBooks: 18, SignUp: 28, BxD: 51867, DifferentBooks: 0 ScoreHeuristic: 46825.86862244898
6636 - NumBooks: 15, SignUp: 28, BxD: 9367, DifferentBooks: 0 ScoreHeuristic: 46194.29081632653
555 - NumBooks: 17, SignUp: 22, BxD: 84764, DifferentBooks: 0 ScoreHeuristic: 45562.842975206615
6202 - NumBooks: 14, SignUp: 19, BxD: 18394, DifferentBooks: 0 ScoreHeuristic: 45436.28808864266
6979 - NumBooks: 19, SignUp: 28, BxD: 4232, DifferentBooks: 0 ScoreHeuristic: 45095.55612244898
399 - NumBooks: 12, SignUp: 19, BxD: 60475, DifferentBooks: 0 ScoreHeuristic: 44698.861495844874
9566 - NumBooks: 10, SignUp: 10, BxD: 99940, DifferentBooks: 0 ScoreHeuristic: 44563.21
9053 - NumBooks: 17, SignUp: 26, BxD: 79392, DifferentBooks: 0 ScoreHeuristic: 44067.69822485207
8226 - NumBooks: 18, SignUp: 26, BxD: 79006, DifferentBooks: 0 ScoreHeuristic: 43906.36686390533
4592 - NumBooks: 16, SignUp: 27, BxD: 67965, DifferentBooks: 0 ScoreHeuristic: 42283.544581618655
7511 - NumBooks: 14, SignUp: 27, BxD: 81809, DifferentBooks: 0 ScoreHeuristic: 41752.11111111111
2652 - NumBooks: 17, SignUp: 26, BxD: 80534, DifferentBooks: 0 ScoreHeuristic: 41349.658284023666
2737 - NumBooks: 19, SignUp: 29, BxD: 90190, DifferentBooks: 0 ScoreHeuristic: 40887.62901307967
8050 - NumBooks: 17, SignUp: 26, BxD: 19336, DifferentBooks: 0 ScoreHeuristic: 40416.46301775148
6213 - NumBooks: 19, SignUp: 33, BxD: 41216, DifferentBooks: 0 ScoreHeuristic: 40254.95041322314
2394 - NumBooks: 19, SignUp: 32, BxD: 16087, DifferentBooks: 0 ScoreHeuristic: 39800.25
1348 - NumBooks: 17, SignUp: 29, BxD: 20097, DifferentBooks: 0 ScoreHeuristic: 39669.65041617122
752 - NumBooks: 17, SignUp: 22, BxD: 91293, DifferentBooks: 0 ScoreHeuristic: 39601.0
1356 - NumBooks: 20, SignUp: 34, BxD: 94989, DifferentBooks: 0 ScoreHeuristic: 39402.25
7021 - NumBooks: 16, SignUp: 19, BxD: 11863, DifferentBooks: 0 ScoreHeuristic: 39391.803324099725
2863 - NumBooks: 10, SignUp: 13, BxD: 47279, DifferentBooks: 0 ScoreHeuristic: 38657.60946745562
5064 - NumBooks: 17, SignUp: 22, BxD: 76336, DifferentBooks: 0 ScoreHeuristic: 38594.38842975206
2144 - NumBooks: 12, SignUp: 25, BxD: 29308, DifferentBooks: 0 ScoreHeuristic: 37372.6224
906 - NumBooks: 12, SignUp: 24, BxD: 47789, DifferentBooks: 0 ScoreHeuristic: 37361.66840277778
1800 - NumBooks: 12, SignUp: 14, BxD: 21665, DifferentBooks: 0 ScoreHeuristic: 37193.87755102041
2939 - NumBooks: 19, SignUp: 26, BxD: 76288, DifferentBooks: 0 ScoreHeuristic: 36908.32100591716
5311 - NumBooks: 19, SignUp: 38, BxD: 29805, DifferentBooks: 0 ScoreHeuristic: 36531.28047091413
4112 - NumBooks: 17, SignUp: 26, BxD: 62512, DifferentBooks: 0 ScoreHeuristic: 36451.62130177515
1559 - NumBooks: 13, SignUp: 14, BxD: 7656, DifferentBooks: 0 ScoreHeuristic: 36426.448979591834
4439 - NumBooks: 18, SignUp: 24, BxD: 58435, DifferentBooks: 0 ScoreHeuristic: 35642.29340277778
7368 - NumBooks: 10, SignUp: 17, BxD: 93072, DifferentBooks: 0 ScoreHeuristic: 35609.91003460208
7075 - NumBooks: 18, SignUp: 32, BxD: 69367, DifferentBooks: 0 ScoreHeuristic: 35109.390625
4924 - NumBooks: 18, SignUp: 29, BxD: 94052, DifferentBooks: 0 ScoreHeuristic: 35007.70035671819
8283 - NumBooks: 17, SignUp: 26, BxD: 404, DifferentBooks: 0 ScoreHeuristic: 34839.658284023666
3546 - NumBooks: 10, SignUp: 17, BxD: 46279, DifferentBooks: 0 ScoreHeuristic: 34793.221453287195
2942 - NumBooks: 15, SignUp: 24, BxD: 70920, DifferentBooks: 0 ScoreHeuristic: 34720.11111111111
6997 - NumBooks: 16, SignUp: 23, BxD: 59509, DifferentBooks: 0 ScoreHeuristic: 34693.11153119092
6129 - NumBooks: 12, SignUp: 16, BxD: 26755, DifferentBooks: 0 ScoreHeuristic: 34248.12890625
3124 - NumBooks: 14, SignUp: 21, BxD: 13313, DifferentBooks: 0 ScoreHeuristic: 34242.621315192744
6772 - NumBooks: 13, SignUp: 23, BxD: 16180, DifferentBooks: 0 ScoreHeuristic: 33904.017013232515
9918 - NumBooks: 10, SignUp: 18, BxD: 49105, DifferentBooks: 0 ScoreHeuristic: 33733.444444444445
1296 - NumBooks: 11, SignUp: 18, BxD: 11319, DifferentBooks: 0 ScoreHeuristic: 33590.74382716049
6342 - NumBooks: 19, SignUp: 30, BxD: 67341, DifferentBooks: 0 ScoreHeuristic: 33354.93444444444
8795 - NumBooks: 18, SignUp: 23, BxD: 9789, DifferentBooks: 0 ScoreHeuristic: 33076.53875236295
2044 - NumBooks: 20, SignUp: 37, BxD: 98595, DifferentBooks: 0 ScoreHeuristic: 32751.216946676406
6313 - NumBooks: 12, SignUp: 22, BxD: 46484, DifferentBooks: 0 ScoreHeuristic: 32711.654958677685
751 - NumBooks: 18, SignUp: 36, BxD: 36888, DifferentBooks: 0 ScoreHeuristic: 32400.0
6953 - NumBooks: 16, SignUp: 25, BxD: 51822, DifferentBooks: 0 ScoreHeuristic: 32342.4256
4589 - NumBooks: 18, SignUp: 27, BxD: 65925, DifferentBooks: 0 ScoreHeuristic: 32266.803840877914
5853 - NumBooks: 17, SignUp: 32, BxD: 8504, DifferentBooks: 0 ScoreHeuristic: 31773.0625
220 - NumBooks: 19, SignUp: 32, BxD: 44010, DifferentBooks: 0 ScoreHeuristic: 31561.7431640625
8124 - NumBooks: 19, SignUp: 37, BxD: 72572, DifferentBooks: 0 ScoreHeuristic: 31472.677867056245
9027 - NumBooks: 15, SignUp: 33, BxD: 88741, DifferentBooks: 0 ScoreHeuristic: 31146.901744719926
115 - NumBooks: 10, SignUp: 15, BxD: 56257, DifferentBooks: 0 ScoreHeuristic: 31046.44
2919 - NumBooks: 18, SignUp: 28, BxD: 16154, DifferentBooks: 0 ScoreHeuristic: 30412.86862244898
7201 - NumBooks: 19, SignUp: 36, BxD: 32738, DifferentBooks: 0 ScoreHeuristic: 30208.37114197531
9367 - NumBooks: 15, SignUp: 24, BxD: 37775, DifferentBooks: 0 ScoreHeuristic: 30160.11111111111
2143 - NumBooks: 12, SignUp: 17, BxD: 53327, DifferentBooks: 0 ScoreHeuristic: 30112.456747404845
5219 - NumBooks: 16, SignUp: 31, BxD: 38835, DifferentBooks: 0 ScoreHeuristic: 29517.45681581686
6253 - NumBooks: 19, SignUp: 34, BxD: 93108, DifferentBooks: 0 ScoreHeuristic: 29140.498269896194
8505 - NumBooks: 19, SignUp: 31, BxD: 1104, DifferentBooks: 0 ScoreHeuristic: 29064.75026014568
9316 - NumBooks: 16, SignUp: 32, BxD: 11827, DifferentBooks: 0 ScoreHeuristic: 29048.94140625
9610 - NumBooks: 16, SignUp: 31, BxD: 42649, DifferentBooks: 0 ScoreHeuristic: 28910.96878251821
2097 - NumBooks: 17, SignUp: 29, BxD: 19928, DifferentBooks: 0 ScoreHeuristic: 28712.718192627824
462 - NumBooks: 16, SignUp: 25, BxD: 54911, DifferentBooks: 0 ScoreHeuristic: 28682.8096
1427 - NumBooks: 11, SignUp: 22, BxD: 52413, DifferentBooks: 0 ScoreHeuristic: 28392.25
6783 - NumBooks: 13, SignUp: 26, BxD: 27422, DifferentBooks: 0 ScoreHeuristic: 28056.25
8109 - NumBooks: 13, SignUp: 23, BxD: 9035, DifferentBooks: 0 ScoreHeuristic: 27512.712665406427
4277 - NumBooks: 17, SignUp: 36, BxD: 24737, DifferentBooks: 0 ScoreHeuristic: 27473.0625
7104 - NumBooks: 18, SignUp: 38, BxD: 88922, DifferentBooks: 0 ScoreHeuristic: 27129.557479224375
9100 - NumBooks: 16, SignUp: 25, BxD: 54927, DifferentBooks: 0 ScoreHeuristic: 26896.0
7841 - NumBooks: 19, SignUp: 39, BxD: 77728, DifferentBooks: 0 ScoreHeuristic: 26862.369493754108
1201 - NumBooks: 20, SignUp: 35, BxD: 25660, DifferentBooks: 0 ScoreHeuristic: 26839.80081632653
5851 - NumBooks: 20, SignUp: 34, BxD: 20196, DifferentBooks: 0 ScoreHeuristic: 26329.834775086507
4717 - NumBooks: 19, SignUp: 39, BxD: 10896, DifferentBooks: 0 ScoreHeuristic: 26327.142669296514
9097 - NumBooks: 17, SignUp: 33, BxD: 27292, DifferentBooks: 0 ScoreHeuristic: 26214.553719008265
7308 - NumBooks: 16, SignUp: 35, BxD: 9068, DifferentBooks: 0 ScoreHeuristic: 26160.751836734693
8285 - NumBooks: 13, SignUp: 26, BxD: 31612, DifferentBooks: 0 ScoreHeuristic: 26131.96597633136
5912 - NumBooks: 16, SignUp: 31, BxD: 20599, DifferentBooks: 0 ScoreHeuristic: 26056.208116545266
