162 - NumBooks: 14, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 9.1E18
8081 - NumBooks: 14, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 9.1E18
3402 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
5525 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
6039 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
6550 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
7734 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
8540 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
8830 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
9781 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
11518 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
11786 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
14888 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
15139 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
15709 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
16352 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
16630 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
17443 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
17737 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
17835 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
18430 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
20307 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
20559 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
20755 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
20827 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
21067 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
22086 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
22384 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
22759 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
23662 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
23907 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
25430 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
26084 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
26141 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
27372 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
28646 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
29848 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 8.45E18
616 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 7.8E18
773 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 7.8E18
967 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 7.8E18
1031 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 7.8E18
1407 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 7.8E18
1412 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 7.8E18
1479 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 7.8E18
1495 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 7.8E18
1505 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 7.8E18
1792 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 7.8E18
1913 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 7.8E18
1916 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 7.8E18
1949 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 7.8E18
2188 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 7.8E18
2195 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 7.8E18
2275 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 7.8E18
2289 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 7.8E18
