309 - NumBooks: 1, SignUp: 173, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 8.986601623843095E7
204 - NumBooks: 971, SignUp: 31, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 687787.3363552624
210 - NumBooks: 803, SignUp: 30, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 560074.767307594
694 - NumBooks: 949, SignUp: 35, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 480838.91683687246
719 - NumBooks: 975, SignUp: 41, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 379674.0397485585
595 - NumBooks: 815, SignUp: 37, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 332514.184144037
901 - NumBooks: 952, SignUp: 45, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 312755.69311154354
774 - NumBooks: 954, SignUp: 45, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 312310.92887703225
618 - NumBooks: 856, SignUp: 40, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 301162.58169084904
369 - NumBooks: 756, SignUp: 37, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 287575.614080588
422 - NumBooks: 984, SignUp: 48, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 286984.7167772606
312 - NumBooks: 805, SignUp: 40, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 286647.60595127294
622 - NumBooks: 922, SignUp: 49, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 263883.329131037
672 - NumBooks: 992, SignUp: 51, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 257615.08158492926
828 - NumBooks: 782, SignUp: 42, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 253304.32509947784
454 - NumBooks: 574, SignUp: 32, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 233929.78133158726
209 - NumBooks: 788, SignUp: 42, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 231365.07834980288
147 - NumBooks: 906, SignUp: 51, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 227561.86045978247
563 - NumBooks: 795, SignUp: 44, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 209621.1174404277
31 - NumBooks: 868, SignUp: 50, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 203455.35264144582
247 - NumBooks: 848, SignUp: 50, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 202544.4461800801
515 - NumBooks: 836, SignUp: 48, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 201968.47016074622
902 - NumBooks: 655, SignUp: 42, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 185661.82620589284
869 - NumBooks: 863, SignUp: 54, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 177912.54885146787
21 - NumBooks: 501, SignUp: 32, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 174354.98637782957
