1949 - NumBooks: 20, SignUp: 10, BxD: 42726, DifferentBooks: 20, Deadline: 99990, ScoreHeuristic: 529984.0
4871 - NumBooks: 20, SignUp: 10, BxD: 78179, DifferentBooks: 20, Deadline: 99980, ScoreHeuristic: 450241.0
8696 - NumBooks: 20, SignUp: 11, BxD: 52809, DifferentBooks: 20, Deadline: 99969, ScoreHeuristic: 469598.71074380167
6550 - NumBooks: 19, SignUp: 11, BxD: 23320, DifferentBooks: 19, Deadline: 99958, ScoreHeuristic: 390511.37190082646
4705 - NumBooks: 17, SignUp: 10, BxD: 79846, DifferentBooks: 17, Deadline: 99948, ScoreHeuristic: 336980.25
2297 - NumBooks: 17, SignUp: 10, BxD: 6972, DifferentBooks: 17, Deadline: 99938, ScoreHeuristic: 271441.0
7327 - NumBooks: 17, SignUp: 10, BxD: 65975, DifferentBooks: 17, Deadline: 99928, ScoreHeuristic: 270608.04
9772 - NumBooks: 17, SignUp: 10, BxD: 73019, DifferentBooks: 16, Deadline: 99918, ScoreHeuristic: 301620.64
8384 - NumBooks: 20, SignUp: 13, BxD: 15798, DifferentBooks: 20, Deadline: 99905, ScoreHeuristic: 277485.8224852071
2610 - NumBooks: 20, SignUp: 13, BxD: 12862, DifferentBooks: 20, Deadline: 99892, ScoreHeuristic: 247544.52071005918
5724 - NumBooks: 19, SignUp: 14, BxD: 70687, DifferentBooks: 19, Deadline: 99878, ScoreHeuristic: 236473.79591836734
8617 - NumBooks: 14, SignUp: 10, BxD: 35925, DifferentBooks: 14, Deadline: 99868, ScoreHeuristic: 185933.44
3428 - NumBooks: 20, SignUp: 14, BxD: 32563, DifferentBooks: 20, Deadline: 99854, ScoreHeuristic: 217622.25
3953 - NumBooks: 18, SignUp: 10, BxD: 41814, DifferentBooks: 18, Deadline: 99844, ScoreHeuristic: 174640.41
1634 - NumBooks: 15, SignUp: 11, BxD: 70051, DifferentBooks: 15, Deadline: 99833, ScoreHeuristic: 183028.39669421487
6241 - NumBooks: 18, SignUp: 12, BxD: 42892, DifferentBooks: 18, Deadline: 99821, ScoreHeuristic: 189442.5625
8917 - NumBooks: 14, SignUp: 11, BxD: 85347, DifferentBooks: 14, Deadline: 99810, ScoreHeuristic: 179776.0
5523 - NumBooks: 19, SignUp: 13, BxD: 30187, DifferentBooks: 19, Deadline: 99797, ScoreHeuristic: 188823.67455621302
53 - NumBooks: 11, SignUp: 10, BxD: 3022, DifferentBooks: 11, Deadline: 99787, ScoreHeuristic: 163054.44
8530 - NumBooks: 20, SignUp: 15, BxD: 11764, DifferentBooks: 20, Deadline: 99772, ScoreHeuristic: 190619.56
1864 - NumBooks: 14, SignUp: 12, BxD: 59356, DifferentBooks: 14, Deadline: 99760, ScoreHeuristic: 170362.5625
8738 - NumBooks: 17, SignUp: 14, BxD: 99268, DifferentBooks: 17, Deadline: 99746, ScoreHeuristic: 183979.7193877551
6897 - NumBooks: 19, SignUp: 15, BxD: 96909, DifferentBooks: 19, Deadline: 99731, ScoreHeuristic: 172501.77777777778
8149 - NumBooks: 10, SignUp: 10, BxD: 18931, DifferentBooks: 10, Deadline: 99721, ScoreHeuristic: 138905.29
18 - NumBooks: 14, SignUp: 11, BxD: 71559, DifferentBooks: 14, Deadline: 99710, ScoreHeuristic: 139944.0082644628
1760 - NumBooks: 10, SignUp: 11, BxD: 10957, DifferentBooks: 10, Deadline: 99699, ScoreHeuristic: 136026.85123966943
9829 - NumBooks: 19, SignUp: 13, BxD: 93548, DifferentBooks: 18, Deadline: 99686, ScoreHeuristic: 159876.94674556213
9255 - NumBooks: 14, SignUp: 12, BxD: 23323, DifferentBooks: 14, Deadline: 99674, ScoreHeuristic: 136838.34027777778
3938 - NumBooks: 12, SignUp: 11, BxD: 72815, DifferentBooks: 12, Deadline: 99663, ScoreHeuristic: 130780.85950413223
4193 - NumBooks: 12, SignUp: 13, BxD: 49702, DifferentBooks: 12, Deadline: 99650, ScoreHeuristic: 141376.0
8691 - NumBooks: 20, SignUp: 15, BxD: 17525, DifferentBooks: 20, Deadline: 99635, ScoreHeuristic: 151788.16
2359 - NumBooks: 15, SignUp: 13, BxD: 4374, DifferentBooks: 15, Deadline: 99622, ScoreHeuristic: 141144.7100591716
8728 - NumBooks: 19, SignUp: 18, BxD: 90855, DifferentBooks: 19, Deadline: 99604, ScoreHeuristic: 164340.1512345679
4758 - NumBooks: 20, SignUp: 16, BxD: 29271, DifferentBooks: 19, Deadline: 99588, ScoreHeuristic: 165089.84765625
1045 - NumBooks: 20, SignUp: 16, BxD: 41843, DifferentBooks: 20, Deadline: 99572, ScoreHeuristic: 150883.69140625
7281 - NumBooks: 18, SignUp: 15, BxD: 85116, DifferentBooks: 18, Deadline: 99557, ScoreHeuristic: 140725.01777777777
7989 - NumBooks: 15, SignUp: 12, BxD: 64488, DifferentBooks: 14, Deadline: 99545, ScoreHeuristic: 153402.77777777778
5134 - NumBooks: 15, SignUp: 12, BxD: 88981, DifferentBooks: 15, Deadline: 99533, ScoreHeuristic: 121046.00694444444
2380 - NumBooks: 12, SignUp: 11, BxD: 72699, DifferentBooks: 12, Deadline: 99522, ScoreHeuristic: 115291.11570247934
627 - NumBooks: 20, SignUp: 16, BxD: 44961, DifferentBooks: 20, Deadline: 99506, ScoreHeuristic: 134001.75390625
650 - NumBooks: 14, SignUp: 11, BxD: 39382, DifferentBooks: 14, Deadline: 99495, ScoreHeuristic: 110163.64462809918
9447 - NumBooks: 20, SignUp: 15, BxD: 32119, DifferentBooks: 20, Deadline: 99480, ScoreHeuristic: 124561.93777777778
198 - NumBooks: 13, SignUp: 11, BxD: 85236, DifferentBooks: 13, Deadline: 99469, ScoreHeuristic: 103976.93388429753
9092 - NumBooks: 14, SignUp: 13, BxD: 86998, DifferentBooks: 14, Deadline: 99456, ScoreHeuristic: 112482.84023668639
1161 - NumBooks: 11, SignUp: 14, BxD: 84586, DifferentBooks: 11, Deadline: 99442, ScoreHeuristic: 116378.44897959183
8791 - NumBooks: 19, SignUp: 17, BxD: 41313, DifferentBooks: 19, Deadline: 99425, ScoreHeuristic: 125691.10380622838
111 - NumBooks: 14, SignUp: 12, BxD: 19562, DifferentBooks: 14, Deadline: 99413, ScoreHeuristic: 105246.17361111111
7491 - NumBooks: 18, SignUp: 18, BxD: 75910, DifferentBooks: 18, Deadline: 99395, ScoreHeuristic: 125434.02777777778
349 - NumBooks: 20, SignUp: 20, BxD: 34406, DifferentBooks: 20, Deadline: 99375, ScoreHeuristic: 128881.0
2006 - NumBooks: 13, SignUp: 13, BxD: 8878, DifferentBooks: 13, Deadline: 99362, ScoreHeuristic: 95956.97633136094
122 - NumBooks: 10, SignUp: 12, BxD: 6031, DifferentBooks: 10, Deadline: 99350, ScoreHeuristic: 86289.0625
2882 - NumBooks: 12, SignUp: 15, BxD: 52911, DifferentBooks: 12, Deadline: 99335, ScoreHeuristic: 95728.36
7819 - NumBooks: 20, SignUp: 16, BxD: 79317, DifferentBooks: 20, Deadline: 99319, ScoreHeuristic: 98556.75390625
2346 - NumBooks: 11, SignUp: 13, BxD: 40912, DifferentBooks: 11, Deadline: 99306, ScoreHeuristic: 87025.0
