602 - NumBooks: 988, SignUp: 1, BxD: 2, DifferentBooks: 981, Deadline: 199, ScoreHeuristic: 6090.350996555195
522 - NumBooks: 959, SignUp: 1, BxD: 2, DifferentBooks: 935, Deadline: 198, ScoreHeuristic: 5602.083258662307
972 - NumBooks: 968, SignUp: 1, BxD: 2, DifferentBooks: 939, Deadline: 197, ScoreHeuristic: 5466.394706065501
717 - NumBooks: 897, SignUp: 1, BxD: 2, DifferentBooks: 828, Deadline: 196, ScoreHeuristic: 5366.921635289522
100 - NumBooks: 849, SignUp: 1, BxD: 2, DifferentBooks: 796, Deadline: 195, ScoreHeuristic: 5349.734268541136
157 - NumBooks: 957, SignUp: 1, BxD: 2, DifferentBooks: 920, Deadline: 194, ScoreHeuristic: 5546.6717145030525
72 - NumBooks: 943, SignUp: 1, BxD: 2, DifferentBooks: 943, Deadline: 193, ScoreHeuristic: 6128.630883751149
715 - NumBooks: 837, SignUp: 1, BxD: 2, DifferentBooks: 817, Deadline: 192, ScoreHeuristic: 5569.9139629637875
61 - NumBooks: 858, SignUp: 1, BxD: 2, DifferentBooks: 783, Deadline: 191, ScoreHeuristic: 5056.022006677861
466 - NumBooks: 816, SignUp: 1, BxD: 2, DifferentBooks: 770, Deadline: 190, ScoreHeuristic: 5349.96028070036
393 - NumBooks: 903, SignUp: 1, BxD: 2, DifferentBooks: 829, Deadline: 189, ScoreHeuristic: 5309.548449633938
59 - NumBooks: 845, SignUp: 1, BxD: 2, DifferentBooks: 770, Deadline: 188, ScoreHeuristic: 5172.676009548391
390 - NumBooks: 799, SignUp: 1, BxD: 2, DifferentBooks: 702, Deadline: 187, ScoreHeuristic: 4878.221417582585
708 - NumBooks: 791, SignUp: 1, BxD: 2, DifferentBooks: 708, Deadline: 186, ScoreHeuristic: 4805.076567367316
37 - NumBooks: 802, SignUp: 1, BxD: 2, DifferentBooks: 719, Deadline: 185, ScoreHeuristic: 5036.549090550752
933 - NumBooks: 683, SignUp: 1, BxD: 2, DifferentBooks: 580, Deadline: 184, ScoreHeuristic: 4641.9384029279445
813 - NumBooks: 734, SignUp: 1, BxD: 2, DifferentBooks: 645, Deadline: 183, ScoreHeuristic: 4334.394721924138
607 - NumBooks: 717, SignUp: 1, BxD: 2, DifferentBooks: 613, Deadline: 182, ScoreHeuristic: 4285.106741317287
