38 - NumBooks: 1000, SignUp: 1, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 0.0
92 - NumBooks: 1000, SignUp: 1, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 0.0
27 - NumBooks: 1000, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 0.0
29 - NumBooks: 1000, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 0.0
48 - NumBooks: 1000, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 0.0
73 - NumBooks: 1000, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 0.0
77 - NumBooks: 1000, SignUp: 2, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 0.0
11 - NumBooks: 1000, SignUp: 3, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 0.0
34 - NumBooks: 1000, SignUp: 3, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 0.0
66 - NumBooks: 1000, SignUp: 3, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 0.0
88 - NumBooks: 1000, SignUp: 3, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 0.0
21 - NumBooks: 1000, SignUp: 4, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 0.0
32 - NumBooks: 1000, SignUp: 4, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 0.0
65 - NumBooks: 1000, SignUp: 4, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 0.0
75 - NumBooks: 1000, SignUp: 4, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 0.0
82 - NumBooks: 1000, SignUp: 4, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 0.0
18 - NumBooks: 1000, SignUp: 5, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 0.0
37 - NumBooks: 1000, SignUp: 5, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 0.0
57 - NumBooks: 1000, SignUp: 5, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 0.0
76 - NumBooks: 1000, SignUp: 5, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 0.0
2 - NumBooks: 1000, SignUp: 6, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 0.0
9 - NumBooks: 1000, SignUp: 6, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 0.0
22 - NumBooks: 1000, SignUp: 6, BxD: 1, DifferentBooks: 0 ScoreHeuristic: 0.0
