72 - NumBooks: 943, SignUp: 1, BxD: 2, DifferentBooks: 0 ScoreHeuristic: 6128.630883751149
602 - NumBooks: 988, SignUp: 1, BxD: 2, DifferentBooks: 0 ScoreHeuristic: 6090.350996555195
522 - NumBooks: 959, SignUp: 1, BxD: 2, DifferentBooks: 0 ScoreHeuristic: 5602.083258662307
715 - NumBooks: 837, SignUp: 1, BxD: 2, DifferentBooks: 0 ScoreHeuristic: 5569.9139629637875
157 - NumBooks: 957, SignUp: 1, BxD: 2, DifferentBooks: 0 ScoreHeuristic: 5546.6717145030525
972 - NumBooks: 968, SignUp: 1, BxD: 2, DifferentBooks: 0 ScoreHeuristic: 5466.394706065501
717 - NumBooks: 897, SignUp: 1, BxD: 2, DifferentBooks: 0 ScoreHeuristic: 5366.921635289522
466 - NumBooks: 816, SignUp: 1, BxD: 2, DifferentBooks: 0 ScoreHeuristic: 5349.96028070036
100 - NumBooks: 849, SignUp: 1, BxD: 2, DifferentBooks: 0 ScoreHeuristic: 5349.734268541136
393 - NumBooks: 903, SignUp: 1, BxD: 2, DifferentBooks: 0 ScoreHeuristic: 5309.548449633938
59 - NumBooks: 845, SignUp: 1, BxD: 2, DifferentBooks: 0 ScoreHeuristic: 5172.676009548391
61 - NumBooks: 858, SignUp: 1, BxD: 2, DifferentBooks: 0 ScoreHeuristic: 5056.022006677861
37 - NumBooks: 802, SignUp: 1, BxD: 2, DifferentBooks: 0 ScoreHeuristic: 5036.549090550752
390 - NumBooks: 799, SignUp: 1, BxD: 2, DifferentBooks: 0 ScoreHeuristic: 4878.221417582585
708 - NumBooks: 791, SignUp: 1, BxD: 2, DifferentBooks: 0 ScoreHeuristic: 4805.076567367316
933 - NumBooks: 683, SignUp: 1, BxD: 2, DifferentBooks: 0 ScoreHeuristic: 4641.9384029279445
87 - NumBooks: 718, SignUp: 1, BxD: 2, DifferentBooks: 0 ScoreHeuristic: 4580.061680390775
813 - NumBooks: 734, SignUp: 1, BxD: 2, DifferentBooks: 0 ScoreHeuristic: 4334.394721924138
