38 - NumBooks: 1000, SignUp: 1, BxD: 1, DifferentBooks: 1000, Deadline: 999, ScoreHeuristic: 0.0
92 - NumBooks: 1000, SignUp: 1, BxD: 1, DifferentBooks: 1000, Deadline: 998, ScoreHeuristic: 0.0
27 - NumBooks: 1000, SignUp: 2, BxD: 1, DifferentBooks: 1000, Deadline: 996, ScoreHeuristic: 0.0
29 - NumBooks: 1000, SignUp: 2, BxD: 1, DifferentBooks: 1000, Deadline: 994, ScoreHeuristic: 0.0
48 - NumBooks: 1000, SignUp: 2, BxD: 1, DifferentBooks: 1000, Deadline: 992, ScoreHeuristic: 0.0
73 - NumBooks: 1000, SignUp: 2, BxD: 1, DifferentBooks: 1000, Deadline: 990, ScoreHeuristic: 0.0
77 - NumBooks: 1000, SignUp: 2, BxD: 1, DifferentBooks: 1000, Deadline: 988, ScoreHeuristic: 0.0
11 - NumBooks: 1000, SignUp: 3, BxD: 1, DifferentBooks: 1000, Deadline: 985, ScoreHeuristic: 0.0
34 - NumBooks: 1000, SignUp: 3, BxD: 1, DifferentBooks: 1000, Deadline: 982, ScoreHeuristic: 0.0
66 - NumBooks: 1000, SignUp: 3, BxD: 1, DifferentBooks: 1000, Deadline: 979, ScoreHeuristic: 0.0
88 - NumBooks: 1000, SignUp: 3, BxD: 1, DifferentBooks: 1000, Deadline: 976, ScoreHeuristic: 0.0
21 - NumBooks: 1000, SignUp: 4, BxD: 1, DifferentBooks: 1000, Deadline: 972, ScoreHeuristic: 0.0
32 - NumBooks: 1000, SignUp: 4, BxD: 1, DifferentBooks: 1000, Deadline: 968, ScoreHeuristic: 0.0
65 - NumBooks: 1000, SignUp: 4, BxD: 1, DifferentBooks: 1000, Deadline: 964, ScoreHeuristic: 0.0
75 - NumBooks: 1000, SignUp: 4, BxD: 1, DifferentBooks: 1000, Deadline: 960, ScoreHeuristic: 0.0
82 - NumBooks: 1000, SignUp: 4, BxD: 1, DifferentBooks: 1000, Deadline: 956, ScoreHeuristic: 0.0
18 - NumBooks: 1000, SignUp: 5, BxD: 1, DifferentBooks: 1000, Deadline: 951, ScoreHeuristic: 0.0
37 - NumBooks: 1000, SignUp: 5, BxD: 1, DifferentBooks: 1000, Deadline: 946, ScoreHeuristic: 0.0
57 - NumBooks: 1000, SignUp: 5, BxD: 1, DifferentBooks: 1000, Deadline: 941, ScoreHeuristic: 0.0
76 - NumBooks: 1000, SignUp: 5, BxD: 1, DifferentBooks: 1000, Deadline: 936, ScoreHeuristic: 0.0
2 - NumBooks: 1000, SignUp: 6, BxD: 1, DifferentBooks: 1000, Deadline: 930, ScoreHeuristic: 0.0
9 - NumBooks: 1000, SignUp: 6, BxD: 1, DifferentBooks: 1000, Deadline: 924, ScoreHeuristic: 0.0
22 - NumBooks: 1000, SignUp: 6, BxD: 1, DifferentBooks: 1000, Deadline: 918, ScoreHeuristic: 0.0
62 - NumBooks: 1000, SignUp: 6, BxD: 1, DifferentBooks: 1000, Deadline: 912, ScoreHeuristic: 0.0
14 - NumBooks: 1000, SignUp: 7, BxD: 1, DifferentBooks: 1000, Deadline: 905, ScoreHeuristic: 0.0
16 - NumBooks: 1000, SignUp: 7, BxD: 1, DifferentBooks: 1000, Deadline: 898, ScoreHeuristic: 0.0
31 - NumBooks: 1000, SignUp: 7, BxD: 1, DifferentBooks: 1000, Deadline: 891, ScoreHeuristic: 0.0
89 - NumBooks: 1000, SignUp: 7, BxD: 1, DifferentBooks: 1000, Deadline: 884, ScoreHeuristic: 0.0
13 - NumBooks: 1000, SignUp: 8, BxD: 1, DifferentBooks: 1000, Deadline: 876, ScoreHeuristic: 0.0
42 - NumBooks: 1000, SignUp: 8, BxD: 1, DifferentBooks: 1000, Deadline: 868, ScoreHeuristic: 0.0
46 - NumBooks: 1000, SignUp: 8, BxD: 1, DifferentBooks: 1000, Deadline: 860, ScoreHeuristic: 0.0
52 - NumBooks: 1000, SignUp: 8, BxD: 1, DifferentBooks: 1000, Deadline: 852, ScoreHeuristic: 0.0
53 - NumBooks: 1000, SignUp: 8, BxD: 1, DifferentBooks: 1000, Deadline: 844, ScoreHeuristic: 0.0
67 - NumBooks: 1000, SignUp: 8, BxD: 1, DifferentBooks: 1000, Deadline: 836, ScoreHeuristic: 0.0
69 - NumBooks: 1000, SignUp: 8, BxD: 1, DifferentBooks: 1000, Deadline: 828, ScoreHeuristic: 0.0
79 - NumBooks: 1000, SignUp: 8, BxD: 1, DifferentBooks: 1000, Deadline: 820, ScoreHeuristic: 0.0
84 - NumBooks: 1000, SignUp: 8, BxD: 1, DifferentBooks: 1000, Deadline: 812, ScoreHeuristic: 0.0
36 - NumBooks: 1000, SignUp: 9, BxD: 1, DifferentBooks: 1000, Deadline: 803, ScoreHeuristic: 0.0
40 - NumBooks: 1000, SignUp: 10, BxD: 1, DifferentBooks: 1000, Deadline: 793, ScoreHeuristic: 0.0
43 - NumBooks: 1000, SignUp: 10, BxD: 1, DifferentBooks: 1000, Deadline: 783, ScoreHeuristic: 0.0
55 - NumBooks: 1000, SignUp: 10, BxD: 1, DifferentBooks: 1000, Deadline: 773, ScoreHeuristic: 0.0
56 - NumBooks: 1000, SignUp: 10, BxD: 1, DifferentBooks: 1000, Deadline: 763, ScoreHeuristic: 0.0
61 - NumBooks: 1000, SignUp: 10, BxD: 1, DifferentBooks: 1000, Deadline: 753, ScoreHeuristic: 0.0
86 - NumBooks: 1000, SignUp: 11, BxD: 1, DifferentBooks: 1000, Deadline: 742, ScoreHeuristic: 0.0
90 - NumBooks: 1000, SignUp: 11, BxD: 1, DifferentBooks: 1000, Deadline: 731, ScoreHeuristic: 0.0
6 - NumBooks: 1000, SignUp: 12, BxD: 1, DifferentBooks: 1000, Deadline: 719, ScoreHeuristic: 0.0
30 - NumBooks: 1000, SignUp: 12, BxD: 1, DifferentBooks: 1000, Deadline: 707, ScoreHeuristic: 0.0
