162 - NumBooks: 14, SignUp: 2, BxD: 1, DifferentBooks: 14, Deadline: 29999, ScoreHeuristic: 9.1E18
8081 - NumBooks: 14, SignUp: 2, BxD: 1, DifferentBooks: 14, Deadline: 29997, ScoreHeuristic: 9.1E18
3402 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29995, ScoreHeuristic: 8.45E18
5525 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29993, ScoreHeuristic: 8.45E18
6039 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29991, ScoreHeuristic: 8.45E18
6550 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29989, ScoreHeuristic: 8.45E18
7734 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29987, ScoreHeuristic: 8.45E18
8540 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29985, ScoreHeuristic: 8.45E18
8830 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29983, ScoreHeuristic: 8.45E18
9781 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29981, ScoreHeuristic: 8.45E18
11518 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29979, ScoreHeuristic: 8.45E18
11786 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29977, ScoreHeuristic: 8.45E18
14888 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29975, ScoreHeuristic: 8.45E18
15139 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29973, ScoreHeuristic: 8.45E18
15709 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29971, ScoreHeuristic: 8.45E18
16352 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29969, ScoreHeuristic: 8.45E18
16630 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29967, ScoreHeuristic: 8.45E18
17443 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29965, ScoreHeuristic: 8.45E18
17737 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29963, ScoreHeuristic: 8.45E18
17835 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29961, ScoreHeuristic: 8.45E18
18430 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29959, ScoreHeuristic: 8.45E18
20307 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29957, ScoreHeuristic: 8.45E18
20559 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29955, ScoreHeuristic: 8.45E18
20755 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29953, ScoreHeuristic: 8.45E18
20827 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29951, ScoreHeuristic: 8.45E18
21067 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29949, ScoreHeuristic: 8.45E18
22086 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29947, ScoreHeuristic: 8.45E18
22384 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29945, ScoreHeuristic: 8.45E18
22759 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29943, ScoreHeuristic: 8.45E18
23662 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29941, ScoreHeuristic: 8.45E18
23907 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29939, ScoreHeuristic: 8.45E18
